	f4_H	f3_CA	f2_N	f1_CB	C	Intensity
411	8.67	54.63	111.98	63.54	172.5	477717824.0
412	8.67	54.63	111.98	64.294	172.5	564428928.0
413	8.67	54.63	111.98	65.04	172.5	266616816.0
414	8.67	54.63	112.726	62.79	172.5	255281072.0
415	8.67	54.63	112.726	63.54	172.5	611046336.0
416	8.67	54.63	112.726	64.294	172.5	879079744.0
417	8.67	54.63	112.726	65.04	172.5	387321280.0
418	8.67	54.63	112.726	65.79	172.5	234218864.0
419	8.67	54.63	113.48	62.79	172.5	401653376.0
420	8.67	54.63	113.48	63.54	172.5	1121122944.0
421	8.67	54.63	113.48	64.294	172.5	1386584576.0
422	8.67	54.63	113.48	65.04	172.5	512540608.0
423	8.67	54.63	113.48	65.79	172.5	278032576.0
424	8.67	54.63	114.23	62.79	172.5	485700832.0
425	8.67	54.63	114.23	63.54	172.5	1251225344.0
426	8.67	54.63	114.23	64.294	172.5	1685999488.0
427	8.67	54.63	114.23	65.04	172.5	609260032.0
428	8.67	54.63	114.23	65.79	172.5	257846352.0
429	8.67	54.63	114.98	62.79	172.5	601120192.0
430	8.67	54.63	114.98	63.54	172.5	1495212032.0
431	8.67	54.63	114.98	64.294	172.5	1866184576.0
432	8.67	54.63	114.98	65.04	172.5	693570816.0
433	8.67	54.63	114.98	65.79	172.5	290441440.0
434	8.67	55.028999999999996	110.48	63.54	172.5	513949664.0
435	8.67	55.028999999999996	110.48	64.294	172.5	802957440.0
436	8.67	55.028999999999996	110.48	65.04	172.5	348307872.0
437	8.67	55.028999999999996	111.23	63.54	172.5	560867456.0
438	8.67	55.028999999999996	111.23	64.294	172.5	863510336.0
439	8.67	55.028999999999996	111.23	65.04	172.5	366658880.0
440	8.67	55.028999999999996	111.98	62.79	172.5	231415312.0
441	8.67	55.028999999999996	111.98	63.54	172.5	621128128.0
442	8.67	55.028999999999996	111.98	64.294	172.5	1083363456.0
443	8.67	55.028999999999996	111.98	65.04	172.5	576758080.0
444	8.67	55.028999999999996	111.98	65.79	172.5	282100320.0
445	8.67	55.028999999999996	112.726	62.79	172.5	265543296.0
446	8.67	55.028999999999996	112.726	63.54	172.5	749354176.0
447	8.67	55.028999999999996	112.726	64.294	172.5	1573042048.0
448	8.67	55.028999999999996	112.726	65.04	172.5	784465152.0
