	f4	f3	f2	f1	C	Intensity
283	8.45	56.62	115.4	64.46	172.355	696666752.0
284	8.45	56.62	116.15	63.71	172.355	602728000.0
285	8.45	56.62	116.15	64.46	172.355	803578816.0
286	8.45	56.62	116.9	63.71	172.355	579787968.0
287	8.45	56.62	116.9	64.46	172.355	817868864.0
288	8.45	56.62	117.65100000000001	63.71	172.355	697216320.0
289	8.45	56.62	117.65100000000001	64.46	172.355	933326208.0
290	8.45	56.62	118.4	63.71	172.355	654130752.0
291	8.45	56.62	118.4	64.46	172.355	807183424.0
292	8.45	56.62	119.15	64.46	172.355	675155008.0
293	8.45	57.03	115.4	63.71	172.355	516525632.0
294	8.45	57.03	115.4	64.46	172.355	518579264.0
295	8.45	57.03	116.15	63.71	172.355	576590272.0
296	8.45	57.03	116.15	64.46	172.355	614149760.0
297	8.45	57.03	116.9	63.71	172.355	540549440.0
298	8.45	57.03	116.9	64.46	172.355	608185792.0
299	8.45	57.03	117.65100000000001	63.71	172.355	570547776.0
300	8.45	57.03	117.65100000000001	64.46	172.355	625000512.0
301	8.45	57.03	118.4	63.71	172.355	578535424.0
302	8.45	57.03	118.4	64.46	172.355	545623616.0
303	8.45	57.03	119.15	64.46	172.355	507258944.0
304	8.85	54.62	115.4	62.96	172.355	565828352.0
305	8.85	54.62	115.4	63.71	172.355	1694602240.0
306	8.85	54.62	115.4	64.46	172.355	1594895744.0
307	8.85	54.62	116.15	62.96	172.355	708253824.0
308	8.85	54.62	116.15	63.71	172.355	2870080512.0
309	8.85	54.62	116.15	64.46	172.355	2720658688.0
310	8.85	54.62	116.9	62.96	172.355	624823296.0
311	8.85	54.62	116.9	63.71	172.355	3591042816.0
312	8.85	54.62	116.9	64.46	172.355	3205807360.0
313	8.85	54.62	117.65100000000001	63.71	172.355	2695670784.0
314	8.85	54.62	117.65100000000001	64.46	172.355	2719602688.0
315	8.85	54.62	118.4	63.71	172.355	1760652672.0
316	8.85	54.62	118.4	64.46	172.355	1744618496.0
317	8.85	54.62	119.15	63.71	172.355	1267916160.0
318	8.85	54.62	119.15	64.46	172.355	1159401600.0
319	8.85	54.62	119.9	63.71	172.355	807178304.0
320	8.85	54.62	119.9	64.46	172.355	892123712.0
321	8.85	55.03	115.4	62.96	172.355	625336128.0
322	8.85	55.03	115.4	63.71	172.355	2566275328.0
323	8.85	55.03	115.4	64.46	172.355	2718830336.0
324	8.85	55.03	116.15	62.96	172.355	730443904.0
325	8.85	55.03	116.15	63.71	172.355	3851964672.0
326	8.85	55.03	116.15	64.46	172.355	4356412416.0
327	8.85	55.03	116.9	63.71	172.355	4504162816.0
328	8.85	55.03	116.9	64.46	172.355	5040733184.0
329	8.85	55.03	117.65100000000001	63.71	172.355	3596072192.0
330	8.85	55.03	117.65100000000001	64.46	172.355	4366598144.0
331	8.85	55.03	118.4	63.71	172.355	2222812416.0
332	8.85	55.03	118.4	64.46	172.355	2934913536.0
333	8.85	55.03	119.15	63.71	172.355	1637647488.0
334	8.85	55.03	119.15	64.46	172.355	1926437120.0
335	8.85	55.03	119.9	63.71	172.355	1100731648.0
336	8.85	55.03	119.9	64.46	172.355	1502829184.0
337	8.85	55.43	115.4	63.71	172.355	2351451904.0
338	8.85	55.43	115.4	64.46	172.355	2694979072.0
339	8.85	55.43	116.15	62.96	172.355	583982912.0
340	8.85	55.43	116.15	63.71	172.355	3019813888.0
341	8.85	55.43	116.15	64.46	172.355	4040205568.0
342	8.85	55.43	116.9	63.71	172.355	3324758016.0
343	8.85	55.43	116.9	64.46	172.355	4572819456.0
344	8.85	55.43	117.65100000000001	63.71	172.355	2778288128.0
345	8.85	55.43	117.65100000000001	64.46	172.355	4051542784.0
346	8.85	55.43	118.4	63.71	172.355	1698106496.0
347	8.85	55.43	118.4	64.46	172.355	3020971264.0
348	8.85	55.43	119.15	63.71	172.355	1323443456.0
349	8.85	55.43	119.15	64.46	172.355	2104274176.0
350	8.85	55.43	119.9	63.71	172.355	1119062144.0
351	8.85	55.43	119.9	64.46	172.355	1746715520.0
352	8.85	55.825	115.4	63.71	172.355	1364494336.0
353	8.85	55.825	115.4	64.46	172.355	1730683392.0
354	8.85	55.825	116.15	63.71	172.355	1638196480.0
355	8.85	55.825	116.15	64.46	172.355	2584821504.0
356	8.85	55.825	116.9	63.71	172.355	1753276032.0
357	8.85	55.825	116.9	64.46	172.355	3030750720.0
358	8.85	55.825	117.65100000000001	63.71	172.355	1424110464.0
359	8.85	55.825	117.65100000000001	64.46	172.355	2700409344.0
360	8.85	55.825	118.4	63.71	172.355	950958720.0
361	8.85	55.825	118.4	64.46	172.355	2202143744.0
362	8.85	55.825	119.15	63.71	172.355	786502272.0
